ID,comment,predicted_sentiment
7500,အဆုံးသတ်ကြီးကမမိုက်ဘူးကွာ💔,negative
7501,မှာလို့ရှာလိုက်ထူးဆန်းတာတွေတွေ့လိမ့်မယ်😮😮😮,neutral
7503,ယောက်ကားတွေမကောင်းဘူး😅,neutral
7504,ကိုယ်တွေဦးလေးလဲရှမ်းပြည်ကစော်လေးနဲ့ကြိုက်တာဘဲ ဒါပေမဲ့မညားဘူး😅,positive
7506,တောင်းကြိးမာ သွာလုပ်တာ ဒီဘဲကွာ😒,neutral
7507,တီးလုံးနောက်ခံ အသံ အကုန်ကျွတ်ဆင်ကြီး အကုန်အပြစ်မရှိ။,neutral
7508,မြေပြန့်သားကတောင်ပေါ်ထိပါတက်ပလေးသွားတာ😢,negative
7509,ကြီးကလဲကွာ😐,neutral
7510,လီးပဲ,neutral
7511,ကိုစောက်ရမ်းကြွေ,positive
7513,အရမ်းကြိုက်တယ်ဗျာ😊,positive
7514,ဒီသီချင်းလေးကို ကိုကိုဝေယံမြင့်လွင်နားထောင်နေရင်ငယ်မျှော်နေသေးတယ်ပြန်လာခဲ့ပါလို့ပြောချင်ပါတယ်,negative
7515,🌸ပန်းလိုပဲလှတယ်ဗျာ,positive
7516,ကလေး၂ယောက်အမေတဲ့လားကွာ,negative
7517,အသံကသေချာနားထောင်ကြည့်ရင် မန်းလေးက ဇာတ်မင်းသားဝင်းနောင်အသံနဲ့လည်းတူတယ် အခုမှ သတိထားမိတယ် မယုံရင်နားထောင်ကြည့်တကယ် တထေရာတည်း,negative
7519,နောက်တစ်ယောက်နဲ့အိမ်နောင်ကြသွားတာလား,negative
7520,စော်လေးကိုချစ်တယ်,positive
7521,ကိုရီးအဲလို မိန်းကလေးတယောက်နက်ဖက်တော့ ကိုရီးမိန်းမက မဆူဘူးလား😂🎉🎉🎉,neutral
7522,ချယ်ရိမာ အနံ့မှမရှိတာ😅,neutral
7524,သီချင်းလေးကအရမ်းကောင်းတာပဲ😊,positive
7525,စာသားအရမ်မိုက်🔥🔥😈😈,positive
7526,ဒီသီချင်းကိုဆိုချင်လွန်းလို့စာရွက်မှာရေးပြီးကျက်ရတဲ့ငါ့ဘဝ😄,negative
7529,ကြီးကွာ ရင်စက်လိုက်တာ,negative
7530,ကလေ ရှမ်းမလေးနဲ့ရသွားတာလားဗမာမလေးနဲ့ရသွားတာလား😑🤌,neutral
7531,ဒီဘဲ မှော်ဝင်နေပြီဟ,neutral
7532,ကျရင်ပြန်လာကြည့်မယ်,neutral
7533,ဇာတ်ကားတွေတင်မကဘူး သီချင်းထဲမှာတောင် မောင်တွေက မကောင်းဘူး တောင်ပေါ်ထိသွားပြီး အသဲသွားခွဲတာ 😢,negative
7534,ကချယ်၇ီ,positive
7535,မင်းသမီးက အိမ်ထောင်မကျသေးတယ်သူတွေရိုက်ပါဗျာခံစားလို့မရဘူး မင်းသမီးချောပေမဲ့ အိမ်ထောင်သည်ဆိုရင် ဘယ်လိုမှခံစားလို့မရဘူး သီချင်းလဲ,positive
7536,ကြီးကမကောင်းဘူး စုတ်ပြတ်နေတာဘဲ,neutral
7538,မြေပြန့်သားတွေကတောင်ပေါ်ထိတက် တာဒီဟာပဲကြည့်တော့😂,neutral
7539,မွာ ဖြင့္လု႔ိ နားေထာင္ရင္း ႀကိဳက္သြားတာ,neutral
7540,အပြင်မှာ တောင်ကြီးသူတွေကပလေးတာရက်စက်တယ်,negative
7541,သီချင်းလေး နားထောင်ပီး သဘောကျနေတာ ကြည့်ပီး ဝမ်းနည်း 😢,positive
7542,ရှမ်းမလေးကြည့်ရင်းသီးချင်းမကြားလိုက်လို့ပြန်နားထောင်လိုက်ရတယ် 😂😂😂,positive
7543,ပါဗျာ။ လုံးဝအကောင်းဆုံး သရုပ်ဆောင်မှုနဲ့ ရှုခင်းတွေ။ သီချင်းအဓိပ္ပာယ်ကိုပိုပေါ်လွင်တယ်။ မင်းသမီးကလည်း အလိုက်ဆုံးပါပဲ။ နောက်ဆုံးနာရီကြည့်တဲ့အခန်းကတော့။ ဝမ်းနည်းစရာကြီးဗျာ😢 တိုက်ဆိုင်မှုလေးတွေသတိရမိတယ်😢😢😢😢,negative
7544,နေ့တိုင်းနားထောင်ဖြစ်တယ်😊,positive
7545,👩👨,positive
7546,မှာတောင်ခေတ်စားနေတယ်😄😄😄သီချင်,positive
7547,သူကားပြတ်တာ ရှမ်းမလေးတစ်ယောက်ရသွားတယ်,negative
7548,ကြည့်ပြီးပြုံး 🤍,positive
7549,ရက်စက်တယ်မြေပြန့်သားရယ်,negative
7550,ချာလီချက်ပလင် ဟ😁,positive
7552,ဟင် ကဘာလည်း🥲 ဟင်တွေဟာတွေဖြစ်ကုန်ပြီ,neutral
7553,တောင်ပေါ်သူကို ပလေးသွားတာ 😏😏😏,positive
7555,အရမ်းကြိုက် ညတိုင်းနားခေါင်,positive
7559,၈၂၁မိနစ်,neutral
7560,ကားပြတ်တုန်း ချယ်ရီအသဲ၀င်ခွဲသွားတာလား😅,positive
7561,ချယ်ပန်းမဟုတ်ဘူး တက်ခွပန်း😂,negative
7562,မဆီမဆိုင်ဘာလို့ပြုံးနေမိ😆,neutral
7563,ချယ်ရီကအနံ့မရှိပါဘုး,neutral
7564,အညာ ပုံစံ စတိုင်လေး တစ်ပုဒ်လောက်,positive
7565,သိချင်းစာသား၊ တေးဂီတရော လေးရော ကြိုက်ပါတယ်,positive
7566,သီချင်းလေးကကောင်းတယ်ဒါမဲ့ကိုယ်နဲ့စသူများဆုံးသွားတာ😢😢😢,negative
7567,တောင်ပေါ်မှာ ဖွေးဖွေးနဲ့အမှတ်တရတွေကွာ သတိရလိုက်တာ,negative
7568,လေးအရမ်းလှတယ် မြန်မာ့ဝတ်စံုေလးေတွဆင်ထားတာ တော်လေးသဘောကျတယ်,positive
7569,မြတ်သရုပ်ဆောင်တာ ကွက်တိ,positive
7570,တောင်ပေါ်မှာဖွေးဖွေးနဲ့အမှတ်တရတွေကဘာလည်းဗျ ဟောဆရာကြီး ဟော ဗျာာာ😅,neutral
7572,က မှာသီချင်းတင်ချင်တာရှာမတွေ့ဘူး,neutral
7573,ဒီသီချင်းလေးကို ကြိုက်တယ်နော် တို့နမည်လဲ အမေငယ်ငယ်ထဲကပေးထားတာ ချယ်ရီသင်း တဲ့,positive
7574,မြေပြန့်သားတွေပလေးရင်တောင်ပေါ်သူတွေမျက်ရည်နဲ့မျက်ခွက်,positive
7575,မြတ်ရတနာကျော်က လှလိုက်တာ,positive
7576,မြေပြန့်သားတွေတောင်ပေါ်ထိ တယ်နော်,neutral
7577,အပြင်မှာ တောင်ပေါ်သားတွေက တယ်,neutral
7578,အသံအေးအေးလေးနဲ့နားထောင်လို့ကောင်းမြတ်ရတနာကျော်ကအရမ်းချောကွက်တိသီချင်းနဲ့,positive
7582,ခများဗျာ ကောင်မလေးကို လိုးပြီးထားခဲ့တယ်ပေါ့😂😂,positive
7583,မင်းသမီး အရွေးတော်တော့ ပိုအသက်၀င်သွားတယ်,negative
7584,ချယ်ရီနဲ့အရမ်းတွေပြီးနောက်ဆုံးမှာစံပါယ်ကြီးနဲ့ပေါင်းသွားတာ စံပါယ်ကပိုမွှေးသွားလို့လားအစ်ကို,negative
7585,ပြောပါအုံးမယ် ဘယ်ချယ်ရီပန်းကမွေးတာလည်း စောက်သလွှဲစာသား,neutral
7587,အစအဆုံးနားထောင်လိုက်တော့ ကိုယ်အဖြစ်နဲ့ကခပ်ဆင်ဆင်ရယ် ရုတ်တရက်အဆက်အသွယ်တွေပျက်ခဲ့ကြတာ ၂နှစ်တောင်ကျော်ပြီ သူရောဒီသီချင်းလေးနားထောင်ရင်းကိုယ့်အကြောင်းများတွေးနေမလား အောင်ပန်းရောက်တိုင်စုံစမ်းပေမယ့်မတွေ့ပါဘူး ရှိတဲ့နေရာမှာ ဘေးမသီရန်မခပဲ လိုချင်တဲ့ဘဝမျိုးပိုင်ဆိုင်နိုင်ပါစေချစ်သောရေ,negative
7588,တစ်ကယ်ကြိုက်တယ်😭💕,positive
7589,🌚,positive
7590,မညားဘူးလားဟ,neutral
7591,မှာအရည်အချင်းအရှိဆုံးဂြိုလ်သား,neutral
7592,ကော်ဖီနံသင်းသင်းလေး ။ ၊🍮တောင်ပေါ်လမ်းလေး🌄။ချယ်ရီပန်းလေး🌸 မြို့ပြမှာရှားပါး။💙အားလုံးကအရမ်းမိုက်တယ်ဗျ🎉,positive
7593,နောက်ပိုင်းကိုနားမလည်လိုက်ဘူး😥ချယ်ရီကဘယ်ရောက်သွားတာလဲ,neutral
7594,ကောင်မလေးဆီမပြန်ဖြစ်တော့တာလား သနားစရာလေးကိုလေ မြို့ကိုအပါခေါ်ခဲ့လို့ရောမရဘူးလားကွယ် ညားလိုက်ရင်ပြီးရော😢,negative
7595,ဘာလို့ နောက်တစ်ယောက် နဲ့ယူရတာတုန်း,neutral
7596,ထွက်သမျှ သီချင်းတိုင်းပေါက်🎉,positive
7598,အရမ်းမိုက်တယ်ဗျ,positive
7600,နားထောင်လို့မဝပု😊လေးနဲ့ပိုမိုက်သွားတာ😊,positive
7601,👍🔥,positive
7602,1,neutral
7603,အကိုရယ်စောင့်နေရတာသနားပါတယ်😢,negative
7604,ကုန်ခါနီးမှာ ချယ်ရီတွေပွင့်ပီ၊ချယ်ရီလေးတွေနဲ့ထပ်ရိုက်ရင်ပိုကောင်း🌺🌺🌺🌺🌺,positive
7605,ချယ်ရီပန်းက ပိတောက်ပန်းလို မမွှေးပျံပင်မဲ့လို့ အလှချင်းပြိုင်ရင်တော့ နိုင်နိုင်ပါတယ်။🌸,neutral
7606,တစ်ခါလောက်ဖြစ်ဖြစ်ရှိုးပွဲကြီးဘူးချင်တယ် ရဲ😢😢,negative
7607,🥰😭,positive
7609,တောင်ပေါ်သားတွေပလေးတယ်,positive
7610,ငယ်ငယ်ကတည်းကကြိုက်ခဲ့တဲ့ သီချင်းလေး,positive
7611,သီချင်းတိုင်းကြိုက်နေမိတယ်😭💞,positive
7613,ဝင်မန့်အုံးမှ🎉😂,positive
7614,အရမ်းလှတော့ ပန်းလေးပါလာဗျ🌸,positive
7615,ကျန်တာတွေနားလည်တယ်တောင်ပေါ်မှာဖွေးဖွေးနဲ့ဘာတွေလုပ်ခဲ့ကျတာလဲ,negative
7616,ရှမ်းမလေးကိုကြွေဘိ😇😇,positive
7617,သူမရဲ့အလှဟာလည်းချယ်ရီပန်းလေးများလိုပဲ ရင်အေးတယ်,positive
7618,အကြောင်းလေးရှင်းပြပါ,neutral
7619,မာထွက်တဲ့သချင်းတွေ အကုန်ကြိုက်တယ် ဘဲကြီးရေ နေ့တိုင်းလဲနားထောင်ဖစ်တယ်ဗျာ🎉,positive
7620,စောက်ပေါ ချယ်ရီပန်းက မွေးတယ် တဲ့လား အနံတော်မရှိတာကိုကွာ,positive
7621,ဒီဘဲကြီးသီချင်းတေက အကုန်မိုက်တယ် 😅😅😅😅,positive
7622,က မှာ မမြတ်ကိုသူသွားယူလိုက်မယ်တဲ့,neutral
7623,ကတော့ ပါပဲဗျာ,neutral
7624,နောက်တစ်ယောက်နဲ့ ညားသွားတာလားဟ ဘယ်လိုကြီးတုန်း မကောင်းဘူး ဒီ ရော ကြီးရော စုတ်ပြတ်နေတာပဲ ရင်ထဲ😅,neutral
7625,ဗျာ ခဗျားဒစ်မရှိဘူး စော်လေးသနားပါတယ်😢😢,negative
7628,နောက်တစ်ခါ လွတ်လွတ်ကျွတ်ကျွတ် တွေပဲ ခေါ်ရိုက်ပေးပါ,positive
7629,နာရီပေးလို့ထားသွားတာ🌚,positive
7630,လိုးပြီးပြေးလိုးပြေး,neutral
7632,💐🌷💙,positive
7633,🎊,positive
7634,ဖိနပ်ကအသက် ရေ😅,positive
7636,သီချင်းလေးက ချိုပေမဲ့🤍 ကြီးကတော့ ငိုရတယ်🥺,positive
7637,အေးမြတဲ့လေဆောင်းတွင်းနွေမေ့မရတဲ့ အခြေအနေအကြောင်းတွေးနေတောင်ပေါ်မှာ ဖူးပွင့်တဲ့ အမှတ်တရတွေ နံ့သင်းသင်းလေး တမ်းတနေစတွေ့တဲ့အခိုက်မှာ သူ့ပုံစံလေးစကားလေးလည်းဝဲ အပြစ်ကင်းစင်သေးခိုးခိုးပြီးအကြည့်မှာ တဖြည်းဖြည်းချင်းညှိပါပန်းလေးများတောင် မင်းကိုဉီးညွန့်ပေး ဆွတ်ခူးဖို့ရွယ် တကယ်ပင်လှမ်းပွင့်ဖူးခဲ့တယ် ချယ်ရီပန်း ပိုင်ရဖို့ကို ဘယ်ဆီမှန်းပျောက်ဆုံးခဲ့တယ် ကိုယ်တစ်ခြမ်းမြူနှင်းလေးများရဲ့အထဲဒီပန်းလေးလှနေတယ်ဘာပန်းလည်း မေးချည်ရဲ့ချယ်ရီပန်းလို့ ပြောတာပဲသူ့နားတိုးကပ်တာနဲ့ရှက်ပါးလေးများဟာရဲသူမရဲ့ အလှဟာလည်းချယ်ရီပန်းလေးများလိုပဲမွေးတယ်ချယ်ရီပန်းလေးကမွေးတောင်ပေါ်လမ်းလေးက ရွေးချယ်ခဲ့မြေပြန့်သားလေးရဲ့အချစ်ကိုပြန်လည်ပြီးတော့ မငြင်းဆိုနဲ့နှုတ်ဆက်လို့ထွက်ခွာ မွေးရပ်မြို့ဆီလမ်းခွဲခြင်းများဟာ ငါ့အတွက်ရိုးအီတစ်ချိန်ချိန်မှာ ပြန်ဆုံနိုင်ဖို့ရွယ်ချယ်ရီတွေ မကြွေအောင်ဆုတောင်းတယ်မင်းရှိတဲ့အရပ်ကို တွေးမှတ်လို့ရယ်နွေးထွေးတဲ့အချစ်တွေ အမြဲတမ်းပို့မယ်သေရာပါ နင်လေပွင့်ဖူးကွယ်မချူနိုင်ပါ ကိုယ်လေ ကျေနပ်တယ် မတွေ့ဖြစ်တာ နှစ် လ ကြာမင်းငါ့ကို မေ့သွားမှာတွေးပြီးရင်မော စိုးထိတ်နေသောကိုယ့်ရဲ့အတွေးများစွာမြို့ပြမှာ ရှားပါးတာငြိမ်းချမ််းတဲ့အချစ်များပါမောပန်းစွာနဲ့ နိုးထလာခဲ့ဆောင်းအိပ်မက်များမြူနှင်းလေးများရဲ့အထဲဒီပန်းလေး လှနေတယ်ဘာပန်းလဲ မေးချည်ရဲ့ချယ်ရီပန်းလို့ ပြောတာပဲသူ့နားတိုးကပ်တာနဲ့ရှက်ပါးလေးများဟာရဲသူမရဲ့အလှဟာလည်းချယ်ရီပန်းလေးများလိုပဲမွေးတယ်ချယ်ရီပန်းလေးကမွေးတောင်ပေါ်လမ်းလေးက ရွေးချယ်ခဲ့မြေပြန့်သားလေးရဲ့ အချစ်ကိုပြန်လည်ပြီးတော့ မငြင်းဆိုနဲ့ဒီမြို့လေးရဲ့အဝေးကိုယ်ဟာ လွမ်းခြင်းတေးကဗျာဖွဲ့ချယ်ရီပန်းလေးနဲ့ မင်းရင်ခုန်ခြင်းများ ဖြစ်လာခဲ့,negative
7638,ကလေး အမေလို့ တောင် မထင်ရဘူးဗျာ။ ချစ်စရာကောင်းချက် ပဲ။,positive
7639,မြို့ပြမှာရှားပါးတာ ငြိမ်းချမ်းတဲ့အချစ်များပါ,negative
7641,🏼,neutral
7642,တောင်ပေါ်မှာ ဖွေးဖွေး နဲ့ငြိခဲ့သေးတာလား😂,neutral
7646,ပြည့်သွားပြီ 🎉,positive
7647,တောင်ပေါ်သူဖြစ်တာတောင်ဝမ်းနည်းမိသွား,negative
7648,ဗမာကောဟုတ်ရဲ့လား,neutral
7650,🎉🎉 🤩,positive
7651,ရှမ်းမတေပလေးတယ်😢,negative
7653,အိုင်ဒေါထွက်လ်ုက်ရင်တကယ်အလန်တွေကြည်ြပဲ ဘယ်ကြောင့်မှန်းမသိထပ်ခါခါပြန်ကြာ်ြမိနေတယ် ပုံစံတွေကလာ်းမရိုးရဖးး ဒီလောက်ဆိုဖန်တွေပေါ်တန်ဖိုးထားတာသိသာဒယ်,negative
7654,ကြမ်းချက်တောင်ပေါ်အထိ အသည်းတက်ခွဲတာ ရှမ်းမလေးအတွက် မျက်ရည်နှစ်စက်ဒီသီချင်းနဲ့ကောင်မလေးကိုကြူးမိရင် အဲ့ကောင်တော့သေပြီ😂,positive
7655,တကယ်ချောတယ် ခုနကတွေ့လိုက်တယ် တကယ်တကယ်,positive
7658,ကျတော်လဲဗျာ လိုသီချင်းကိုယ်တိုင်ရေးကိုယ်တိုင်ဆိုတတ်ချင်တယ်ဗျာ က်ု လုပ်ပေးပါလားဗျာ ကျတော်လဲအဆိုတော်တစ်ယောက်ဖြစ်ချင်လို့ဗျာ😢,negative
7659,အရမ်းကောင်းတယ် အကိုရေ,positive
7660,ရှေးအငွေ့သက်လေး ခံစားနေရပီဆိုမှ ဖိနပ်ကြီး မြင်လိုက်ရတော့ လစ်ကော🥹,positive
7661,တောင်ပေါ်သူက 💔,negative
7662,မြေပြင်သားလေးကတောင်ပေါ်သူလေးကို ပလေးသွားတဲ့ ကြီးကငိုတောင်ငိုချင်တယ်ကွာ,negative
7663,ငါတို့နယ်မြို့လေးအဝေးနေတော့ပိုသတိရတယ်😢,negative
7664,အားလုံးကောင်းတေ ရီးက စိတ်ပျက်စရာလေး,positive
7665,မမမြတ်ကိုဘာလို့ထားခဲ့တာလဲဘဲကီး😅,negative
7666,🥰 ပြည့်သွားပီ ဘဲကြီးရေ,neutral
7667,ကြီးနဲ့ ရက်စက်လိုက်တာ ဘဲရီးရာ,negative
7668,၅ရက်ကို ပြည့်ရင်ကောင်းမယ်🎉🎉🎉,positive
7669,ဆိုတော့အဆုံးမှာ ဇာတ်သိမ်းလှတာလားမလှတာလား,neutral
7670,ဘာလဲသူက၂ယောက်တောင်လား😮,neutral
7671,စကားလေးလဲ အပစ်ကင်းစင်သေးဆိုပြီးချယ်ရီလေးကို ပလေးသွားတာမကျေနပ်ဘူး😢,negative
7673,ဘာလို့ ရက်စက်ခဲ့တာလဲ သနားပါတယ်😢,negative
7675,ဒီက ချင်းတောင်တန်း သီချင်းများ ဆိုနေမလားလို့လေ🥹,neutral
7676,သီချင်းမှာ ရှမ်းမလေး ပါရင် မြတ်ရတနာကျော်နဲ့သာရိုက် လုံး၀ ဘဲ💚,neutral
7677,အဲ့တာဆို က ပေါ့ဗျာစော်လေးတွေကို အဲ့လို မကစားသင့်ပါဘူး,neutral
7678,ကျေနပ်ပါတယ် ကိုဂျေရေ 🎉,positive
7679,ကြီးကရုပ်ရှင်မင်းသားဦးဝင်းဦးနဲ့တူတယ်😅😊,neutral
7680,တောင်ပေါ်သူလေးတစ်ယောက်တော့လိုချင်မိတယ်ဘဲကြီးရေ🤘🏻,positive
7681,ဘာပန်းလဲမေးချင်ရဲ့ ရွှေပန်းလို့ပြောတာပဲ😁😁😁,neutral
7682,ချစ်သူမမက ချယ်ရီမဟုတ်ပေမဲ့ တောင်ပေါ်သူလေးမို့ အရမ်းကြိုက် ကိုဂျေရေ ညတိုင်းနားထောင်ဖစ်တယ်,positive
7683,အဲအမကြီးနဲ့ရိုက်တဲ့ တိုင်းတကယ်ပေါက်တာကြီးပဲ,positive
7685,အဲကြောင့်ကို ကိုကြိုက်တာ,positive
7686,လွန်ခဲ့တဲ့ရက်ကမန့်ထားတဲ့မန့်ကိုဖျက်ပီးအသစ်ပြန်လာမန့်တာစာသားကဘယ်မှာလဲလို့စာသားကိုမန့်ထိပ်ဆုံးမှာပီးသီချင်းစာသားကိုတော့ရေးပေးထားသင့်ပါတယ် အခုတင်ထားတာရက်ဖဲရှိသေးတာကိုကရသွားပီမို့လို့လေနောက်မကြာခင်ဆိုရင်တွေကိုရှယ်ချီပီးဒီသီချင်းကရမှာကျိန်းကိုသေတယ်ဒီသီချင်းကအနည်းဆုံးဆိုရင်ကျော်လောက်ရတယ်ကနေတို့တို့လောက်တော့ဒီသီချင်းကရမှာသေချာပေါက်လောင်းရဲတယ်🎉,negative
7687,ဒီလို မျိုးဆို မမြတ်က နော်🎉,neutral
7688,သီခ်င္းကေကာင္းတယ္,positive
7689,မလွဘူး ျပင္တာ,neutral
7690,ရှင့်ကတော့ ပိုင်ရှင်ရှိသွားပြီပေါ့ ချယ်ရီကိုကော ဘယ်သူနဲ့ပေးပေါင်းမှာလဲ ပြော,neutral
7691,အရမ်းကြိုက် ရဲ့အသံနဲ့လုံးဝကိုတောင်ကြီးရောက်သွားတဲ့နော်🌸🌸🌸ညီမလေးမြတ်ကလည်းအရမ်းလှ😍 ချယ်ရီ🎉ဘယ်နှစ်ကြော့မှန်းမသိပြန်ကြည့်😅,positive
7693,ရှမ်းမက မြင်းမထိကနေ ကလောထိကို ရှမ်းသုပ်သွားစားပစ်တာ,negative
7694,ယောင်္ကျားေတွကြောက်ဖုတ်ကောင်းလိုက်တာရှင် သူ့မြို့လေးမှာသူနေပြီးပလေးခံလိုက်ရတယ်။,positive
7695,🕺😍 💔,positive
7697,အစကတော့သီချင်းလေးရောသရုပ်ဆောင်လေးရောသဘောကျလို့သွားကြီးကိုဖြီးလို့ကျမှ ဖြီးနေတဲ့သွားပါပြန်စိသွားတယ် မျက်လုံးထဲပါပိုးကောင်ဝင်သွားသလိုပဲ,neutral
7699,ကို မကောင်းဘူးဗျာ မိန်းမရှိရက်နက် ချယ်ရီရဲ့ အချစ်ကို ရအောင်ယူခဲ့တာ သူ့မှာတော့ အကို့ကို ဘယ်အချိနိသူ့ရင်ခွင်ဆီ ပြန်ရောက်လာမလဲဆိုတာ မျှော်ရှာနေရောပေါ့😢,negative
7701,၂ယောက်လုံးချစ်စရာလေးဟေ😭🔥🎀,positive
7702,ဖာသည်မသား လီးသံနဲ့ အဆိုတော်လုပ်နေတယ် ကိုမေကိုလိုး မသုံးရင် လောက်တောင် ကောင်းမယ့်ပုံစံမရှိဘူး,negative
7703,ျမတ္ရတနာေက်ာ္ကလွလိုက္တာ,neutral
7704,နာရီလက်ဆောင်ပေးမှတော့ ဝေးပိ ပေါ့ သိချင်းကိုလုပ်ထားမိုက်တယ် ကွက်တိကျနေရော,positive
7705,ကြည့်ရတာနဲ့တင် တန်တယ်ရှုခင်းရော အလှအပရော,positive
7706,ကောင်မလေးက လှလိုက်တာသီချင်းနဲ့လိုက်ဖက်🥰 ဒါမက်သီချင်းဆုံးတဲ့ထိ ချယ်ရီမပါတာတော့ သိပ်မမိုက်ဘူး💔ခုချိန်ဆို ချယ်ရီတွေပွင့်နေပြီရယ် စောင့်ရိုက်ရင် ပိုကောင်းမာ,positive
7708,သီချင်းလေးက ကောင်းကောင်းနဲ့ နားထောင်နေတာ နောက်ဆုံးကျတော့ ယောကျ်ားလေးတွေက အချစ်ဦးကို ဘယ်သောအခါမှ မမေ့ဆိုတာကိုပါ သက်သေပြသွားသော,positive
7709,ချယ်ရီကို သွားတာ,positive
7711,ချယ်ရီ ဆိုတဲ့ကောင်မလေးကိုပိုင်ဆိုင်ထားတယ်ဗျာ😊,positive
7712,သီချင်းကိုစကြားထဲက မမြတ် ကိုဘဲမြင်တယ် သူနဲ့လည်းလိုက်တယ်တကယ်ချစ်စရာလေး,positive
7713,မမြတ်ရတနာကျော်ကိုမြင်ရတာကိုထျန်ခေးရဲ့ ချစ်လွန်းလို့ပါသီချင်းကလေးရ သဘောကျလိုက်တာ🌸,positive
7715,မြေပြန့်သားတေက ပလေးတယ်နော်,neutral
7716,ဒီသီချင်းကအမမြတ်နဲ့ကွက်တိပဲ သရုပ်ဆောင်တာလည်း,positive
7717,ထွက်သမျှသီချင်းတိုင်းကောင်းနေရောပဲဗျာ,positive
7718,ကောင်မလေးကတစ််ကယ်လှလွန်းတယ်ကွာ ချစ်စရာလေး,negative
7719,👏👏👏👍👍👍🤗🤗🤗🤗😘😘😘😍😍😍😍,positive
7721,တောင်ပေါ်ထိ ဖင်တက်ယားပြီး နာရီတစ်လုံး အဖတ် တင်ခဲ့တဲ့ ဘဲ,positive
